gene,species
A2ML1,gamo
ABCC9,gamo
AGO4,gamo
ANKZF1,gamo
ARFGEF2,gamo
ARID3A,gamo
ATAD2,gamo
CACNA1D,gamo
CACNG2,gamo
CASC4,gamo
Cdh23,gamo
CHD7,gamo
Cnrip1,gamo
CTSB,gamo
DNAJC11,gamo
ERLIN2,gamo
FBXO28,gamo
Fhl1,gamo
FMNL2,gamo
Fras1,gamo
FSIP2,gamo
GAL3ST2,gamo
GALNT5,gamo
GGCT,gamo
GLB1,gamo
HDHD2,gamo
hnf4b,gamo
HTR6,gamo
INTS14,gamo
KCNAB2,gamo
kctd15,gamo
KIAA1614,gamo
KIFC3,gamo
LLGL1,gamo
Mocs1,gamo
MYH4,gamo
MYH7,gamo
MYOCD,gamo
NECTIN1,gamo
Nfrkb,gamo
Nploc4,gamo
NUDC,gamo
NUMA1,gamo
ONECUT2,gamo
ORC4,gamo
PLPPR1,gamo
PQLC2,gamo
PREX1,gamo
RUFY3,gamo
SCN4B,gamo
SEMA3A,gamo
SFTPB,gamo
Slc41a3,gamo
SMARCA4,gamo
SON,gamo
SPG11,gamo
SRPK1,gamo
Taf4b,gamo
TSSK6,gamo
UHRF1,gamo
VWA5B2,gamo
WDR7,gamo
WNT4,gamo
LNX2,finch
LOC115492592,finch
DPY19L4,finch
MBOAT2,finch
RYR2,finch
GRK4,finch
ZDHHC5,finch
TSHR,finch
SLC16A9,finch
EAF2,finch
MC1R,finch
PGPEP1,finch
LOC115491116,finch
LOC115494852,finch
DHX16,finch
LOC100228312 ,gamo_ge
PAXBP1 ,gamo_ge
WDR66 ,gamo_ge
ATXN2 ,gamo_ge
LRRTM3 ,gamo_ge
MSL3 ,gamo_ge
REEP5 ,gamo_ge
STAM ,gamo_ge
CUL1 ,gamo_ge
DTL ,gamo_ge
LOC100190161 ,gamo_ge
LOC100190400 ,gamo_ge
MTM1 ,gamo_ge
RSF1 ,gamo_ge
UTP15 ,gamo_ge
CHRNB3 ,gamo_ge
DOK4 ,gamo_ge
EPB41L4A ,gamo_ge
NR1H3,gamo_ge
TCHP ,gamo_ge
CHPF ,gamo_ge
RAX ,gamo_ge
TCTE1 ,gamo_ge
ARL14EP ,gamo_ge
LOC100221794 ,gamo_ge
MAN2B2 ,gamo_ge
SLITRK2 ,gamo_ge
DCT ,gamo_ge
EEF1A1 ,gamo_ge
GSG1 ,gamo_ge
LOC100232656 ,gamo_ge
LRRN1 ,gamo_ge
GPR116 ,gamo_ge
JAK2 ,gamo_ge
LOC100223762 ,gamo_ge
NAT10 ,gamo_ge
MPHOSPH9 ,gamo_ge
PCMT1 ,gamo_ge
CCDC135 ,gamo_ge
COG6 ,gamo_ge
LOC100190699 ,gamo_ge
LOC100221420 ,gamo_ge
LOC100221679 ,gamo_ge
LOC100222183 ,gamo_ge
LOC100229340 ,gamo_ge
TRA2A ,gamo_ge
Dchs1,gamo_cpg
TPP1,gamo_cpg
OR52B2,gamo_cpg
HBB,gamo_cpg
IZUMO1R,gamo_cpg
NUP98,gamo_cpg
STIM1,gamo_cpg
DNAJC28,gamo_cpg
ITSN1,gamo_cpg
SON,gamo_cpg
HLCS,gamo_cpg
TTC3,gamo_cpg
BRWD1,gamo_cpg
PCP4,gamo_cpg
DSCAM,gamo_cpg
MX,gamo_cpg
Tmprss2,gamo_cpg
Prdm15,gamo_cpg
UMODL1,gamo_cpg
Tmprss3,gamo_cpg
Ubash3a,gamo_cpg
SLC37A1,gamo_cpg
Pde9a,gamo_cpg
WDR4,gamo_cpg
PKNOX1,gamo_cpg
HSF2BP,gamo_cpg
TRAPPC10,gamo_cpg
CXorf36,gamo_cpg
KDM6A,gamo_cpg
CASK,gamo_cpg
Ddx3x,gamo_cpg
BCOR,gamo_cpg
SRPX,gamo_cpg
Sytl5,gamo_cpg
XK,gamo_cpg
Tab3,gamo_cpg
PRPF38A,gamo_cpg
CXorf21,gamo_cpg
Pcyt1b,gamo_cpg
Pdk3,gamo_cpg
ZFX,gamo_cpg
EIF2S3,gamo_cpg
SAT1,gamo_cpg
ACOT9,gamo_cpg
KLHL34,gamo_cpg
MAP7D2,gamo_cpg
BCLAF3,gamo_cpg
MAP3K15,gamo_cpg
PPEF1,gamo_cpg
Cdkl5,gamo_cpg
Rai2,gamo_cpg
NHS,gamo_cpg
Grpr,gamo_cpg
Ap1s2,gamo_cpg
ASB11,gamo_cpg
ASB9,gamo_cpg
FRMPD4,gamo_cpg
MID1,gamo_cpg
WWC3,gamo_cpg
cars2,gamo_cpg
Ing1,gamo_cpg
TUBGCP3,gamo_cpg
